Wavelength. µm	n	k
23.01	2.8291	1.0507
23.341	2.8764	0.87847
23.682	2.8783	0.69647
24.034	2.8344	0.53099
24.396	2.7587	0.39885
24.769	2.6691	0.30536
25.153	2.5811	0.24658
25.55	2.5042	0.21347
25.96	2.4419	0.19621
26.383	2.3933	0.18708
26.819	2.3556	0.18128
27.271	2.3258	0.17638
27.738	2.3017	0.17139
28.221	2.2816	0.16602
28.722	2.2644	0.16023
29.24	2.2494	0.15409
29.778	2.236	0.14767
30.335	2.224	0.14105
30.914	2.2129	0.13429
31.516	2.2026	0.12746
32.141	2.193	0.1206
32.792	2.1838	0.11377
33.469	2.1751	0.10702
34.176	2.1667	0.10036
34.912	2.1585	0.093854
35.681	2.1506	0.087513
36.485	2.1429	0.081367
37.326	2.1353	0.075437
38.206	2.1279	0.069739
39.129	2.1206	0.064288
40.098	2.1135	0.059095
41.116	2.1065	0.054167
42.187	2.0996	0.049509
43.315	2.0929	0.045123
44.505	2.0864	0.041008
45.762	2.08	0.037162
47.093	2.0737	0.033581
48.503	2.0676	0.030258
50	2.0617	0.027185
