Wavelength. µm	n	k
2.077	0.4581	14.68
2.084	0.461	14.73
2.097	0.4669	14.83
2.104	0.4699	14.88
2.118	0.476	14.97
2.125	0.4791	15.02
2.139	0.4853	15.12
2.146	0.4885	15.17
2.153	0.4917	15.23
2.167	0.4982	15.33
2.175	0.5015	15.38
2.189	0.5082	15.48
2.197	0.5116	15.54
2.204	0.5151	15.59
2.219	0.5221	15.7
2.227	0.5256	15.75
2.235	0.5292	15.81
2.242	0.5328	15.86
2.258	0.5402	15.97
2.266	0.5439	16.03
2.274	0.5477	16.09
2.282	0.5515	16.14
2.298	0.5593	16.26
2.306	0.5632	16.32
2.314	0.5672	16.38
2.323	0.5712	16.44
2.339	0.5794	16.56
2.348	0.5835	16.62
2.356	0.5877	16.68
2.365	0.592	16.74
2.374	0.5963	16.8
2.382	0.6006	16.86
2.391	0.605	16.92
2.409	0.6139	17.05
2.418	0.6185	17.12
2.427	0.6231	17.18
2.436	0.6277	17.24
2.445	0.6324	17.31
2.455	0.6372	17.38
2.464	0.642	17.44
2.473	0.6468	17.51
2.483	0.6517	17.58
2.492	0.6567	17.65
2.502	0.6617	17.71
2.512	0.6668	17.78
2.522	0.672	17.85
2.531	0.6772	17.92
2.541	0.6824	17.99
2.551	0.6878	18.06
2.561	0.6931	18.14
2.572	0.6986	18.21
2.582	0.7041	18.28
2.592	0.7097	18.35
2.603	0.7154	18.43
2.613	0.7211	18.5
2.624	0.7269	18.58
2.634	0.7327	18.65
2.645	0.7387	18.73
2.656	0.7447	18.81
2.667	0.7508	18.89
2.678	0.7569	18.96
2.689	0.7631	19.04
2.7	0.7695	19.12
2.711	0.7758	19.2
2.723	0.7823	19.28
2.734	0.7889	19.36
2.746	0.7955	19.45
2.758	0.8022	19.53
2.769	0.809	19.61
2.781	0.8159	19.7
2.793	0.8229	19.78
2.805	0.83	19.87
2.817	0.8371	19.96
2.83	0.8444	20.04
2.842	0.8517	20.13
2.855	0.8592	20.22
2.867	0.8667	20.31
2.88	0.8744	20.4
2.893	0.8821	20.49
2.906	0.89	20.58
2.919	0.8979	20.68
2.932	0.906	20.77
2.946	0.9142	20.86
2.959	0.9225	20.96
2.973	0.9309	21.06
2.986	0.9394	21.15
3	0.948	21.25
3.014	0.9568	21.35
3.028	0.9657	21.45
3.042	0.9747	21.55
3.057	0.9838	21.65
3.071	0.9931	21.75
3.086	1.003	21.86
3.101	1.012	21.96
3.116	1.022	22.07
3.131	1.031	22.17
3.146	1.041	22.28
3.161	1.052	22.39
3.177	1.062	22.5
3.192	1.072	22.61
3.208	1.083	22.72
3.224	1.093	22.84
3.24	1.104	22.95
3.256	1.115	23.07
3.273	1.126	23.18
3.289	1.138	23.3
3.306	1.149	23.42
3.323	1.161	23.54
3.34	1.173	23.66
3.358	1.185	23.78
3.375	1.197	23.9
3.393	1.21	24.03
3.411	1.222	24.16
3.429	1.235	24.28
3.447	1.248	24.41
3.465	1.262	24.54
3.484	1.275	24.67
3.503	1.289	24.81
3.522	1.303	24.94
3.541	1.317	25.08
3.561	1.331	25.21
3.58	1.346	25.35
3.6	1.361	25.49
3.62	1.376	25.63
3.641	1.391	25.78
3.661	1.407	25.92
3.682	1.422	26.07
3.703	1.439	26.22
3.724	1.455	26.37
3.746	1.472	26.52
3.768	1.489	26.67
3.79	1.506	26.83
3.812	1.524	26.98
3.834	1.541	27.14
3.857	1.56	27.3
3.88	1.578	27.47
3.904	1.597	27.63
3.927	1.616	27.8
3.951	1.636	27.97
3.976	1.656	28.14
4	1.676	28.31
4.025	1.697	28.48
4.05	1.718	28.66
4.076	1.739	28.84
4.101	1.761	29.02
4.128	1.783	29.2
4.154	1.806	29.39
4.181	1.829	29.58
4.208	1.853	29.77
4.235	1.877	29.96
4.263	1.901	30.16
4.292	1.926	30.35
4.32	1.951	30.56
4.349	1.977	30.76
4.379	2.004	30.96
4.408	2.031	31.17
4.439	2.059	31.38
4.469	2.087	31.6
4.5	2.115	31.82
4.532	2.145	32.04
4.564	2.175	32.26
4.596	2.205	32.49
4.629	2.236	32.72
4.662	2.268	32.95
4.696	2.301	33.18
4.73	2.334	33.42
4.765	2.368	33.67
4.8	2.403	33.91
4.836	2.438	34.16
4.872	2.474	34.42
4.909	2.512	34.67
4.947	2.55	34.93
4.985	2.588	35.2
5.023	2.628	35.47
5.063	2.669	35.74
5.103	2.71	36.02
5.143	2.753	36.3
5.184	2.796	36.59
5.226	2.841	36.88
5.269	2.886	37.17
5.312	2.933	37.47
5.356	2.981	37.78
5.4	3.03	38.09
5.446	3.08	38.4
5.492	3.132	38.72
5.539	3.185	39.05
5.586	3.239	39.38
5.635	3.294	39.71
5.684	3.351	40.05
5.735	3.41	40.4
5.786	3.47	40.76
5.838	3.532	41.12
5.891	3.595	41.48
5.945	3.66	41.85
6	3.726	42.23
6.056	3.795	42.62
6.114	3.865	43.01
6.172	3.938	43.41
6.231	4.012	43.82
6.292	4.089	44.24
6.353	4.168	44.66
6.416	4.249	45.09
6.48	4.332	45.53
6.546	4.418	45.98
6.612	4.507	46.44
6.681	4.598	46.9
6.75	4.692	47.38
6.821	4.788	47.86
6.894	4.888	48.36
6.968	4.991	48.86
7.044	5.097	49.38
7.121	5.207	49.9
7.2	5.32	50.44
7.281	5.437	50.99
7.364	5.557	51.55
7.449	5.682	52.12
7.535	5.811	52.71
7.624	5.944	53.31
7.715	6.082	53.92
7.808	6.225	54.54
7.903	6.373	55.18
8.001	6.526	55.84
8.1	6.684	56.51
8.203	6.848	57.2
8.308	7.019	57.9
8.416	7.195	58.62
8.527	7.379	59.36
8.641	7.569	60.11
8.757	7.767	60.89
8.877	7.972	61.68
9.001	8.186	62.5
9.127	8.408	63.33
9.257	8.639	64.19
9.392	8.88	65.07
9.53	9.131	65.98
9.672	9.393	66.91
9.819	9.665	67.87
9.97	9.95	68.85
10.13	10.25	69.86
10.29	10.56	70.9
10.45	10.88	71.97
10.62	11.22	73.07
10.8	11.58	74.21
10.98	11.95	75.38
11.17	12.34	76.58
11.37	12.75	77.83
11.57	13.18	79.11
11.78	13.63	80.43
12	14.1	81.8
